Customer_ID,Gender,Age,City,Loyalty_Status,Signup_Date,Email
1,Female,50,Kisumu,Silver,2025-09-01,brittany75@example.org
2,Male,36,Malindi,Bronze,2023-02-01,lreynolds@example.net
3,Male,20,Nakuru,Silver,2024-03-02,kiarabest@example.net
4,Female,50,Malindi,Gold,2024-07-13,michael16@example.org
5,Male,61,Nakuru,Gold,2024-09-29,vowen@example.org
6,Female,37,Nakuru,Gold,2022-04-13,nrogers@example.com
7,Male,27,Malindi,Gold,2025-10-29,morenodanielle@example.com
8,Female,37,Malindi,Gold,2026-02-26,osmith@example.org
9,Male,59,Nairobi,Bronze,2023-08-11,bhensley@example.org
10,Female,29,Eldoret,Silver,2025-03-13,brittanyramirez@example.net
11,Female,62,Kisumu,Silver,2024-05-22,powellbrad@example.org
12,Male,69,Thika,Silver,2022-09-04,awood@example.org
13,Male,59,Malindi,Gold,2024-08-12,smoore@example.net
14,Male,53,Mombasa,Silver,2023-05-16,moralesanthony@example.com
15,Female,49,Thika,Bronze,2025-03-15,andersonpatrick@example.org
16,Male,27,Nakuru,Silver,2022-12-17,millerkimberly@example.org
17,Female,55,Eldoret,Silver,2025-08-30,garnold@example.net
18,Male,42,Thika,Bronze,2022-10-20,carolynroth@example.com
19,Male,32,Thika,Gold,2024-06-25,millermonica@example.org
20,Male,40,Mombasa,Gold,2024-02-05,rsmith@example.org
21,Male,-5,Malindi,Bronze,2022-06-04,kimberly66@example.net
22,Female,36,Nakuru,Bronze,2024-11-25,meghan96@example.com
23,Male,39,Malindi,Bronze,2022-04-25,eortiz@example.com
24,Male,28,Malindi,Bronze,2024-01-02,williamssteven@example.com
25,Female,40,Nakuru,Gold,2025-05-28,christy71@example.com
26,Male,35,Kisumu,Gold,2023-12-18,leonard80@example.net
27,Male,38,Nairobi,Silver,2022-06-03,kellylloyd@example.net
28,Male,61,Malindi,Gold,2022-11-11,shannon50@example.net
29,Male,26,Eldoret,Bronze,2022-04-22,ochavez@example.com
30,Female,27,Mombasa,Gold,2024-04-18,lindsayreeves@example.net
31,Female,29,Nairobi,Bronze,2023-12-07,kevin80@example.com
32,Male,68,Nakuru,Gold,2022-06-10,bjohnson@example.org
33,Male,50,Nairobi,Bronze,2023-08-18,gsmith@example.com
34,Male,36,Eldoret,Bronze,2025-08-10,kchristian@example.org
35,Female,24,Kisumu,Silver,2022-04-08,vaughnmichael@example.net
36,Female,57,Mombasa,Gold,2025-01-05,
37,Male,63,Nairobi,Silver,2024-01-24,jilliansmith@example.org
38,Male,43,Nairobi,Silver,2024-12-20,bjones@example.com
39,Male,59,Kisumu,Silver,2024-03-05,mrichards@example.net
40,Male,25,Mombasa,Silver,2023-05-17,smithchristopher@example.net
41,Female,57,Nairobi,Gold,2024-08-12,tcox@example.com
42,Male,37,Mombasa,Bronze,2023-08-15,kathryn46@example.net
43,Male,68,Thika,Gold,2023-05-30,erinlynn@example.net
44,Male,37,Kisumu,Gold,2025-02-19,millerkimberly@example.org
45,Female,33,Nairobi,Bronze,2024-09-25,xdouglas@example.org
46,Female,61,Eldoret,Bronze,2023-07-01,margaretrodgers@example.com
47,Female,41,Kisumu,Silver,2023-10-13,huffmankathleen@example.com
48,Male,29,Mombasa,Bronze,2022-05-12,raymond42@example.com
49,Female,29,Mombasa,Silver,2024-09-08,austinmichael@example.org
50,Male,66,Eldoret,Gold,2022-08-28,cgarza@example.com
51,Female,39,Eldoret,Gold,2023-07-10,kellerricky@example.org
52,Female,52,Nakuru,Silver,2024-07-28,elizabethperry@example.org
53,Male,61,Mombasa,Gold,2026-02-11,ybrown@example.org
54,Male,49,Malindi,Gold,2026-02-04,paynemandy@example.net
55,Male,32,Malindi,Silver,2023-12-28,rachel65@example.org
56,Male,31,Eldoret,Silver,2023-12-21,kenneth42@example.org
57,Male,45,Nairobi,Bronze,2024-07-24,matthewwolf@example.com
58,Female,24,Eldoret,Gold,2023-04-01,brendajenkins@example.org
59,Male,31,Nairobi,Gold,2024-06-20,gharris@example.org
60,Female,30,Malindi,Silver,2023-10-17,david21@example.net
61,Female,30,Malindi,Bronze,2024-12-22,kristenvillanueva@example.com
62,Female,69,Kisumu,Bronze,2023-08-28,michaellivingston@example.net
63,Female,21,Thika,Gold,2024-10-08,jill79@example.com
64,Male,31,Nairobi,Silver,2025-12-22,reynoldsrachael@example.net
65,Female,49,Kisumu,Gold,2022-04-13,jimmy99@example.net
66,Male,30,Mombasa,Gold,2022-11-19,sherry62@example.com
67,Male,53,Mombasa,Gold,2025-06-26,weekscarla@example.org
68,Female,26,Nairobi,Gold,2022-12-15,rebeccascott@example.com
69,Male,65,Eldoret,Bronze,2026-02-18,collinsmary@example.net
70,Male,67,Malindi,Gold,2023-01-15,daughertydouglas@example.net
71,Female,25,Thika,Silver,2023-12-09,ruben71@example.com
72,Male,34,Nairobi,Silver,2022-04-28,todd69@example.org
73,Male,20,Eldoret,Silver,2024-05-03,alexa33@example.net
74,Female,64,Kisumu,Bronze,2024-07-01,christina86@example.org
75,Female,21,Nairobi,Bronze,2025-07-31,mercedesingram@example.net
76,Female,21,Kisumu,Bronze,2023-08-03,donna49@example.org
77,Male,52,Malindi,Bronze,2024-04-12,dedwards@example.net
78,Male,26,Kisumu,Gold,2023-02-17,daniel06@example.org
79,Male,36,Malindi,Gold,2023-03-05,eklein@example.org
80,Female,27,Mombasa,Silver,2024-06-26,mark99@example.org
81,Female,24,Nairobi,Bronze,2023-04-19,spearsthomas@example.com
82,Male,47,Eldoret,Silver,2022-07-21,jorge09@example.net
83,Male,52,Thika,Gold,2025-06-24,saunderspaul@example.org
84,Male,39,Nakuru,Silver,2025-11-11,debra33@example.com
85,Female,62,Nairobi,Gold,2023-09-14,deborah21@example.com
86,Male,38,Nakuru,Silver,2024-11-19,michael56@example.org
87,Female,46,Nairobi,Silver,2025-04-07,randall32@example.net
88,Male,42,Nairobi,Gold,2023-02-10,fischeramy@example.net
89,Male,49,Nakuru,Gold,2024-08-15,mayerann@example.org
90,Male,50,Nakuru,Silver,2025-12-16,ellisjeffrey@example.net
91,Male,49,Eldoret,Bronze,2023-05-14,christopher60@example.com
92,Female,37,Malindi,Bronze,2024-07-13,aaronshields@example.net
93,Male,70,Malindi,Bronze,2023-03-18,sbuchanan@example.org
94,Male,55,Kisumu,Silver,2022-08-28,brianjohnston@example.com
95,Male,68,Nakuru,Bronze,2026-02-08,caseygreen@example.com
96,Male,63,Kisumu,Bronze,2022-06-03,geoffrey32@example.org
97,Male,56,Mombasa,Silver,2024-09-09,sjenkins@example.com
98,Female,56,Kisumu,Bronze,2022-06-14,john95@example.org
99,Female,42,Kisumu,Bronze,2022-05-08,michael92@example.org
100,Female,26,Eldoret,Bronze,2023-01-07,ggiles@example.net
101,Male,29,Thika,Silver,2024-10-13,steelealan@example.com
102,Male,66,Malindi,Gold,2024-12-27,amanda50@example.com
103,Female,67,Nairobi,Silver,2025-08-17,ebarker@example.net
104,Male,19,Nakuru,Gold,2022-10-01,robinsonveronica@example.net
105,Male,24,Eldoret,Silver,2022-10-14,rangelhannah@example.com
106,Male,22,Kisumu,Gold,2024-08-21,samuel28@example.org
107,Male,47,Nakuru,Silver,2025-12-21,armstrongemily@example.com
108,Male,61,Mombasa,Gold,2024-07-04,danielle37@example.net
109,Male,69,Kisumu,Bronze,2025-12-31,rebeccawilliams@example.com
110,Female,59,Nairobi,Bronze,2022-11-05,burnettfernando@example.com
111,Female,53,Nairobi,Gold,2023-10-13,jeffery34@example.org
112,Male,46,Thika,Bronze,2022-07-16,brittany19@example.net
113,Female,33,Kisumu,Gold,2022-07-15,jcrosby@example.org
114,Male,20,Mombasa,Gold,2022-10-16,danielkelley@example.org
115,Male,50,Nairobi,Silver,2024-01-21,josephgonzalez@example.net
116,Female,31,Eldoret,Silver,2023-05-12,hendersoncarlos@example.net
117,Male,27,Malindi,Gold,2025-06-12,greenkenneth@example.com
118,Male,58,Nakuru,Gold,2023-11-28,jason59@example.org
119,Female,54,Eldoret,Silver,2024-02-08,samanthahall@example.com
120,Female,18,Nakuru,Gold,2024-02-09,amanda73@example.com
121,Male,29,Malindi,Silver,2026-02-10,dariuslopez@example.com
122,Female,59,Kisumu,Bronze,2023-10-09,xwalker@example.org
123,Male,32,Eldoret,Silver,2023-08-09,wmurray@example.org
124,Male,44,Kisumu,Gold,2025-06-18,stephenschristopher@example.org
125,Female,28,Mombasa,Gold,2025-02-23,riosbryan@example.org
126,Female,37,Kisumu,Bronze,2025-01-17,smithbrian@example.com
127,Female,62,Malindi,Gold,2022-06-12,ortizpeter@example.com
128,Male,19,Thika,Gold,2023-04-15,inoble@example.org
129,Male,20,Kisumu,Gold,2026-01-18,fulleredward@example.com
130,Male,26,Nairobi,Bronze,2024-09-10,saracobb@example.org
131,Female,47,Kisumu,Gold,2024-08-15,awalker@example.com
132,Female,55,Kisumu,Silver,2025-07-17,crystal68@example.com
133,Male,68,Malindi,Silver,2025-03-15,hunterkimberly@example.org
134,Male,21,Thika,Bronze,2025-05-16,rodriguezmary@example.org
135,Female,70,Kisumu,Gold,2024-10-18,brianperkins@example.com
136,Female,44,Nairobi,Silver,2022-08-20,stephanielane@example.net
137,Male,24,Malindi,Gold,2026-01-08,pbarnett@example.com
138,Female,53,Thika,Silver,2026-01-13,bobbynixon@example.com
139,Female,57,Eldoret,Gold,2026-01-11,howellkelly@example.com
140,Female,45,Eldoret,Gold,2023-12-21,jmontgomery@example.org
141,Male,36,Malindi,Gold,2025-03-22,louis11@example.com
142,Male,32,Kisumu,Gold,2024-04-26,april34@example.com
143,Male,18,Mombasa,Gold,2022-07-16,lscott@example.org
144,Male,53,Kisumu,Gold,2025-11-16,vincenthenderson@example.com
145,Female,66,Eldoret,Bronze,2024-02-01,joshua18@example.net
146,Male,44,Kisumu,Bronze,2025-01-30,oharper@example.com
147,Male,19,Kisumu,Bronze,2024-06-12,barnesmichael@example.org
148,Female,35,Thika,Silver,2025-05-19,smithmelvin@example.net
149,Male,43,Malindi,Silver,2022-10-25,greeneugene@example.net
150,Male,24,Eldoret,Gold,2024-09-29,ericmaddox@example.com
151,Male,48,Mombasa,Bronze,2025-07-13,aadams@example.net
152,Male,56,Kisumu,Silver,2025-09-28,kphillips@example.net
153,Female,50,Malindi,Bronze,2025-04-04,raymondvelez@example.org
154,Female,31,Kisumu,Bronze,2023-05-16,mallory83@example.com
155,Male,63,Thika,Gold,2023-05-04,daniel05@example.net
156,Male,31,Thika,Silver,2024-06-18,iolson@example.net
157,Female,62,Thika,Silver,2022-07-13,kendra28@example.org
158,Male,69,Nairobi,Silver,2026-02-25,lisaguzman@example.com
159,Male,55,Eldoret,Bronze,2022-10-19,donna06@example.net
160,Male,53,Mombasa,Silver,2026-01-30,ericajenkins@example.net
161,Female,57,Nairobi,Bronze,2023-04-22,carly40@example.com
162,Female,30,Mombasa,Silver,2024-10-31,twilson@example.com
163,Male,64,Mombasa,Silver,2024-10-04,gonzalezbrian@example.org
164,Female,42,Eldoret,Silver,2025-06-28,lacey81@example.net
165,Female,18,Kisumu,Silver,2022-07-13,jenniferlawrence@example.com
166,Male,49,Kisumu,Gold,2024-01-05,kevinpowell@example.net
167,Male,40,Thika,Bronze,2023-12-02,meghan35@example.net
168,Female,51,Nakuru,Gold,2022-09-11,erinhill@example.net
169,Male,66,Nairobi,Silver,2023-07-03,kelleyrobert@example.net
170,Male,48,Nakuru,Silver,2024-04-10,cranekevin@example.com
171,Male,61,Nakuru,Gold,2022-09-08,jasonrogers@example.com
172,Male,28,Thika,Bronze,2022-09-04,kathleen22@example.net
173,Female,46,Nakuru,Bronze,2024-09-01,smithmichael@example.com
174,Female,67,Malindi,Gold,2024-12-08,davisjohn@example.org
175,Female,19,Eldoret,Silver,2025-10-14,baileyjohnson@example.net
176,Female,66,Eldoret,Bronze,2025-04-20,brownkelly@example.com
177,Female,46,Kisumu,Gold,2022-06-14,ynelson@example.com
178,Female,60,Nakuru,Silver,2022-11-04,rickyharding@example.net
179,Male,21,Nairobi,Silver,2022-04-29,jenniferbrewer@example.net
180,Female,21,Nairobi,Gold,2024-04-10,angelaperez@example.org
181,Female,26,Mombasa,Gold,2025-02-02,markalvarez@example.net
182,Female,45,Mombasa,Bronze,2023-07-04,matthew08@example.org
183,Male,59,Nairobi,Bronze,2022-06-22,nicole09@example.net
184,Male,66,Eldoret,Gold,2022-11-11,wrightcandace@example.net
185,Male,24,Kisumu,Silver,2023-04-04,xlevy@example.org
186,Male,70,Thika,Bronze,2023-11-26,susandawson@example.org
187,Female,31,Nairobi,Bronze,2025-07-23,catherine00@example.net
188,Female,51,Mombasa,Silver,2025-05-24,amy54@example.org
189,Female,53,Nairobi,Bronze,2022-08-25,dylantaylor@example.com
190,Female,35,Thika,Silver,2024-12-05,tara24@example.org
191,Male,43,Kisumu,Silver,2024-08-07,yfarrell@example.net
192,Male,63,Eldoret,Silver,2022-07-18,xwilson@example.org
193,Male,54,Eldoret,Silver,2023-02-14,christopher53@example.com
194,Female,48,Malindi,Gold,2022-05-17,campbelldavid@example.com
195,Female,48,Nakuru,Gold,2023-04-30,rthomas@example.com
196,Male,32,Thika,Bronze,2023-10-16,kellycurtis@example.com
197,Male,29,Malindi,Gold,2025-07-28,cynthiasmith@example.net
198,Male,21,Nairobi,Gold,2025-08-17,jamie84@example.org
199,Female,23,Mombasa,Gold,2024-07-10,rodriguezjessica@example.net
200,Male,26,Eldoret,Silver,2025-02-25,elizabeth71@example.net
201,Male,22,Nairobi,Gold,2023-07-08,ricejordan@example.net
202,Male,22,Kisumu,Gold,2022-11-10,hernandezjoyce@example.org
203,Male,45,Kisumu,Bronze,2022-07-15,haneyheather@example.org
204,Male,29,Malindi,Gold,2025-10-19,laura09@example.net
205,Female,26,Nakuru,Silver,2025-12-15,greensheena@example.org
206,Male,59,Nairobi,Silver,2022-10-13,hughesamber@example.net
207,Male,40,Mombasa,Gold,2025-03-30,micheleclark@example.org
208,Female,28,Kisumu,Gold,2022-08-22,kathrynpark@example.net
209,Male,35,Mombasa,Silver,2025-03-05,katherinemcbride@example.com
210,Female,45,Eldoret,Silver,2025-12-20,tmeyer@example.org
211,Male,30,Malindi,Gold,2023-04-15,billgray@example.net
212,Male,29,Mombasa,Bronze,2022-11-11,susanrice@example.org
213,Female,19,Mombasa,Bronze,2023-09-16,hprice@example.org
214,Female,70,Malindi,Silver,2024-01-21,briancallahan@example.com
215,Female,41,Kisumu,Silver,2023-12-27,hoodcynthia@example.org
216,Male,35,Mombasa,Silver,2025-08-16,scottandrew@example.com
217,Female,21,Eldoret,Silver,2025-10-30,perezdavid@example.com
218,Male,56,Nakuru,Gold,2023-04-11,ashley43@example.com
219,Male,70,Kisumu,Gold,2025-04-02,brandonjohnson@example.org
220,Female,23,Nairobi,Bronze,2026-03-01,sergiorobinson@example.com
221,Male,28,Malindi,Silver,2025-10-05,owhite@example.org
222,Male,34,Malindi,Bronze,2022-08-07,tsantiago@example.net
223,Male,61,Thika,Silver,2025-04-09,baileymike@example.org
224,Male,40,Kisumu,Bronze,2025-11-01,harringtonkevin@example.org
225,Male,58,Thika,Bronze,2022-06-26,alexandrafletcher@example.org
226,Female,52,Kisumu,Silver,2022-04-21,vickismith@example.org
227,Male,46,Malindi,Bronze,2023-12-20,pkirby@example.net
228,Female,60,Eldoret,Silver,2025-08-21,andrew01@example.com
229,Male,24,Eldoret,Bronze,2025-02-04,adamspamela@example.net
230,Male,22,Thika,Silver,2023-10-18,brianna24@example.net
231,Male,58,Mombasa,Silver,2024-10-22,adamsregina@example.net
232,Female,26,Mombasa,Gold,2024-01-13,stephanie66@example.com
233,Female,50,Eldoret,Silver,2025-05-25,edwardsrachel@example.net
234,Female,51,Malindi,Silver,2022-05-21,karinastevens@example.org
235,Female,64,Nairobi,Bronze,2024-05-22,davidwhite@example.net
236,Female,35,Nairobi,Gold,2025-08-27,johnsonrebekah@example.org
237,Male,51,Kisumu,Gold,2024-04-05,gzimmerman@example.net
238,Female,19,Eldoret,Silver,2024-12-02,veronicabriggs@example.org
